City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lebu,-37.6167,-73.65,13.57,74,0,4.89,CL,1619444329
Ovsyanka,55.9575,92.5519,9.0,46,0,2.0,RU,1619444330
Blagoyevo,63.3667,47.9167,6.95,71,100,2.01,RU,1619444330
Alta Floresta,-9.8756,-56.0861,24.0,100,90,1.54,BR,1619444330
Témiscaming,46.7212,-79.0971,-1.0,59,0,4.12,CA,1619444331
Atuona,-9.8,-139.0333,26.44,69,100,6.26,PF,1619444331
Jamestown,42.097,-79.2353,3.33,74,75,3.6,US,1619444208
Albany,42.6001,-73.9662,5.56,42,8,1.34,US,1619444127
Bambous Virieux,-20.3428,57.7575,26.0,78,75,7.2,MU,1619444331
Puerto Ayora,-0.7393,-90.3518,24.52,82,19,3.25,EC,1619444332
Wattegama,6.7989,81.4808,28.0,94,20,2.57,LK,1619444332
Busselton,-33.65,115.3333,16.11,86,100,1.22,AU,1619444333
Iqaluit,63.7506,-68.5145,1.0,86,90,1.54,CA,1619444333
Coquimbo,-29.9533,-71.3436,13.0,88,90,2.57,CL,1619444207
Ribeira Grande,38.5167,-28.7,18.0,72,20,5.14,PT,1619444333
Bluff,-46.6,168.3333,6.11,84,82,1.34,NZ,1619444334
Punta Arenas,-53.15,-70.9167,5.0,100,75,2.06,CL,1619444122
Totness,5.8833,-56.3167,26.32,85,100,3.85,SR,1619444334
Hilo,19.7297,-155.09,22.0,78,75,2.06,US,1619444334
Rikitea,-23.1203,-134.9692,25.05,75,11,2.4,PF,1619444335
Yakeshi,49.2833,120.7333,7.28,33,48,3.1,CN,1619444335
Abonnema,4.7084,6.7931,34.0,59,75,2.57,NG,1619444335
Bathsheba,13.2167,-59.5167,27.0,61,75,9.26,BB,1619444336
Tucumcari,35.1717,-103.725,16.0,14,1,3.6,US,1619444336
Muros,42.7762,-9.0603,17.22,85,30,4.92,ES,1619444336
Khatanga,71.9667,102.5,-9.16,91,100,4.77,RU,1619444337
Martinsville,36.6915,-79.8725,16.11,67,1,0.86,US,1619444337
Dargaville,-35.9333,173.8833,12.45,81,0,2.36,NZ,1619444338
Esperance,-33.8667,121.9,18.0,59,100,1.54,AU,1619444338
Airai,-8.9266,125.4092,13.43,75,9,0.81,TL,1619444338
Siedlce,52.1677,22.2901,9.44,46,97,6.35,PL,1619444338
Chui,-33.6971,-53.4616,19.12,54,10,5.62,UY,1619444339
Avarua,-21.2078,-159.775,22.0,100,54,1.03,CK,1619444339
Porto-Novo,6.4965,2.6036,32.0,70,40,5.66,BJ,1619444340
Shache,38.4167,77.2406,21.18,12,1,2.11,CN,1619444340
Ushuaia,-54.8,-68.3,5.0,87,75,1.54,AR,1619444228
Hithadhoo,-0.6,73.0833,28.63,63,15,2.31,MV,1619444340
Pierre,44.3683,-100.351,7.78,81,1,3.09,US,1619444336
Mountain Home,43.133,-115.6912,6.0,100,90,2.57,US,1619444341
Boa Vista,2.8197,-60.6733,26.0,83,75,3.6,BR,1619444341
Port Elizabeth,-33.918,25.5701,18.0,77,0,8.75,ZA,1619444342
Pokhara,28.2333,83.9833,24.3,16,1,3.44,NP,1619444342
Te Anau,-45.4167,167.7167,3.0,88,75,0.82,NZ,1619444342
Saint-Augustin,51.226,-58.6502,5.26,71,100,6.59,CA,1619444343
Yellowknife,62.456,-114.3525,-20.0,71,75,6.17,CA,1619444244
Borovskoy,53.8,64.15,12.49,29,100,5.19,KZ,1619444343
Grindavik,63.8424,-22.4338,8.0,66,0,1.54,IS,1619444343
Tasiilaq,65.6145,-37.6368,4.0,75,90,5.14,GL,1619444344
Port Alfred,-33.5906,26.891,26.28,57,100,5.49,ZA,1619444344
Kavieng,-2.5744,150.7967,27.69,74,97,1.37,PG,1619444344
Onguday,50.75,86.15,4.11,62,100,1.94,RU,1619444345
Zeya,53.75,127.2667,8.84,57,100,1.79,RU,1619444345
Haradok,55.4624,29.9816,4.0,56,75,4.0,BY,1619444345
Kapaa,22.0752,-159.319,23.0,73,90,4.12,US,1619444082
Saint-Philippe,-21.3585,55.7679,27.0,69,0,8.23,RE,1619444346
George Town,5.4112,100.3354,30.0,74,20,1.54,MY,1619444277
Morvi,22.8167,70.8333,41.0,12,40,2.57,IN,1619444346
Srednekolymsk,67.45,153.6833,-15.66,93,29,2.05,RU,1619444347
Kalmunai,7.4167,81.8167,28.34,73,97,5.55,LK,1619444347
Cap-aux-Meules,47.3821,-61.8597,5.0,100,100,10.8,CA,1619444347
Río Gallegos,-51.6226,-69.2181,8.0,76,40,2.06,AR,1619444274
Mahébourg,-20.4081,57.7,26.0,78,75,7.2,MU,1619444348
Mataura,-46.1927,168.8643,6.11,84,100,1.34,NZ,1619444348
Santiago del Estero,-27.7951,-64.2615,18.02,54,0,2.63,AR,1619444348
Agropoli,40.3469,14.9966,22.78,53,0,1.54,IT,1619444349
Alvarães,-3.2208,-64.8042,26.0,94,40,1.54,BR,1619444349
Leningradskiy,69.3833,178.4167,-7.52,94,100,1.88,RU,1619444349
Upernavik,72.7868,-56.1549,2.44,86,100,2.4,GL,1619444350
Taoudenni,22.6783,-3.9836,41.1,8,58,2.3,ML,1619444350
Mar del Plata,-38.0023,-57.5575,16.11,72,20,2.06,AR,1619444350
Québec,46.8123,-71.2145,0.0,56,100,2.57,CA,1619444101
Saint Paul Harbor,57.79,-152.4072,6.0,70,20,5.14,US,1619444351
Faya,18.3851,42.4509,15.0,88,75,9.26,SA,1619444351
Bukama,-9.2,25.85,28.8,64,73,0.9,CD,1619444351
Ituango,7.1712,-75.764,22.32,74,87,0.5,CO,1619444352
Kruisfontein,-34.0033,24.7314,20.0,73,100,1.79,ZA,1619444352
Camacha,33.0833,-16.3333,19.0,72,40,7.72,PT,1619444352
Torbay,47.6666,-52.7314,10.0,46,90,10.8,CA,1619444130
Kiryat Gat,31.61,34.7642,20.0,40,20,6.55,IL,1619444353
Mossamedes,-15.1961,12.1522,30.0,58,20,5.14,AO,1619444353
Batouri,4.4333,14.3667,35.44,29,37,2.02,CM,1619444353
Cape Town,-33.9258,18.4232,20.0,64,75,6.17,ZA,1619444268
Haines Junction,60.7522,-137.5108,-4.0,86,1,0.51,CA,1619444354
Aklavik,68.2191,-135.0107,-12.0,85,92,3.6,CA,1619444354
Tālcher,20.95,85.2167,31.53,37,95,4.92,IN,1619444354
Port Hedland,-20.3167,118.5667,22.0,68,0,2.06,AU,1619444355
Vicuña,-30.0319,-70.7081,13.0,88,90,2.57,CL,1619444355
Kananga,-5.8958,22.4178,28.47,60,51,1.06,CD,1619444355
Lagoa,39.05,-27.9833,15.68,77,99,3.01,PT,1619444356
Butaritari,3.0707,172.7902,28.35,75,96,6.61,KI,1619444356
Talnakh,69.4865,88.3972,-11.16,88,100,3.77,RU,1619444356
Rosario,-32.9468,-60.6393,18.89,67,0,0.75,AR,1619444061
Sisimiut,66.9395,-53.6735,6.86,59,100,1.79,GL,1619444357
Hals,56.9961,10.3081,10.56,34,75,3.6,DK,1619444357
Millinocket,45.6573,-68.7098,3.0,81,90,7.2,US,1619444357
River Falls,44.8614,-92.6238,4.44,83,100,3.58,US,1619444358
Alpena,45.0617,-83.4327,2.0,55,90,4.63,US,1619444358
Kapiri Mposhi,-13.9652,28.6809,25.75,44,77,2.28,ZM,1619444358
Barranca,-10.75,-77.7667,19.58,83,32,3.4,PE,1619444359
Padang,-0.9492,100.3543,27.0,89,40,1.03,ID,1619444359
Warrington,53.3925,-2.5802,15.56,47,0,2.06,GB,1619444359
Kaitangata,-46.2817,169.8464,6.67,66,88,3.13,NZ,1619444360
Arica,-18.475,-70.3042,19.0,59,0,1.54,CL,1619444360
Port Hardy,50.6996,-127.4199,6.0,100,40,2.06,CA,1619444360
Bama,11.5221,13.6856,41.74,12,62,4.15,NG,1619444361
Teguise,29.0605,-13.564,25.0,47,40,7.72,ES,1619444361
Zhicheng,30.2956,111.5047,15.56,86,68,0.85,CN,1619444362
Udachny,66.4167,112.4,-13.0,86,86,6.34,RU,1619444362
Lompoc,34.6391,-120.4579,9.0,93,7,2.08,US,1619444362
Idenao,4.2475,9.0047,31.0,66,20,4.63,CM,1619444362
Okhotsk,59.3833,143.3,-6.62,79,43,1.44,RU,1619444363
Barrow,71.2906,-156.7887,-12.0,79,1,6.17,US,1619444255
Saldanha,-33.0117,17.9442,18.0,77,17,7.72,ZA,1619444363
Nanortalik,60.1432,-45.2371,1.06,99,100,3.33,GL,1619444364
Senhor do Bonfim,-10.4614,-40.1894,28.94,49,94,4.05,BR,1619444319
Itarema,-2.9248,-39.9167,29.78,62,23,5.08,BR,1619444364
Tiksi,71.6872,128.8694,-7.15,95,100,5.25,RU,1619444364
East London,-33.0153,27.9116,25.0,61,0,3.6,ZA,1619444365
Bredasdorp,-34.5322,20.0403,21.0,60,0,4.63,ZA,1619444365
Namatanai,-3.6667,152.4333,26.37,80,6,1.38,PG,1619444365
Yaan,7.3833,8.5667,37.7,32,72,1.88,NG,1619444366
Jambi City,-1.6,103.6167,24.03,94,9,0.9,ID,1619444192
Walvis Bay,-22.9575,14.5053,26.0,44,0,6.69,NA,1619444366
Vangaindrano,-23.35,47.6,23.69,88,68,2.69,MG,1619444367
Yulara,-25.2406,130.9889,19.0,27,0,5.14,AU,1619444367
Takanosu,40.2219,140.3694,5.0,80,20,3.09,JP,1619444367
Mount Isa,-20.7333,139.5,27.0,29,40,5.66,AU,1619444368
Kudahuvadhoo,2.6708,72.8944,28.7,70,93,2.84,MV,1619444368
Lüderitz,-26.6481,15.1594,20.41,75,25,4.85,NA,1619444368
Omboué,-1.5746,9.2618,29.41,72,84,4.55,GA,1619444369
Haysville,37.5645,-97.3523,18.89,94,1,9.77,US,1619444369
Gorontalo,0.5412,123.0595,24.52,91,99,1.12,ID,1619444369
Saskylakh,71.9167,114.0833,-18.2,100,71,3.05,RU,1619444370
Cayenne,4.9333,-52.3333,26.0,94,75,2.06,GF,1619444370
Ancud,-41.8697,-73.8203,13.89,100,75,2.57,CL,1619444370
Carnarvon,-24.8667,113.6333,21.0,83,0,2.06,AU,1619444371
Hobart,-42.8794,147.3294,12.0,71,20,3.09,AU,1619444188
Castro,-24.7911,-50.0119,20.29,65,3,0.6,BR,1619444156
Ereymentau,51.6199,73.1033,11.41,67,100,6.09,KZ,1619444371
Vidim,56.4088,103.1106,-1.09,87,99,3.42,RU,1619444372
Ushtobe,45.2514,77.9838,16.9,34,56,4.59,KZ,1619444372
Flinders,-34.5833,150.8552,13.33,83,10,0.45,AU,1619444372
Arraial do Cabo,-22.9661,-42.0278,25.0,94,75,2.06,BR,1619444372
Burgeo,47.6167,-57.6152,5.86,87,100,14.46,CA,1619444373
Ampanihy,-24.7,44.75,28.03,49,46,6.4,MG,1619444373
Bayan,46.0833,127.4,12.87,31,100,3.73,CN,1619444373
Roald,62.5833,6.1333,8.0,42,0,3.6,NO,1619444374
Sittwe,20.15,92.9,28.18,77,5,2.52,MM,1619444374
Tilichiki,60.4667,166.1,-1.19,99,100,1.29,RU,1619444374
Dikson,73.5069,80.5464,-0.1,98,100,8.66,RU,1619444375
Gariāband,20.635,82.0614,35.0,16,75,2.57,IN,1619444375
Changchun,43.88,125.3228,19.0,12,0,6.0,CN,1619444375
Zlobin,45.2924,14.6541,16.0,41,0,1.54,HR,1619444376
Taunggyi,20.7833,97.0333,18.59,81,90,1.69,MM,1619444376
Palmer,42.1584,-72.3287,6.67,45,40,8.75,US,1619444377
Nome,64.5011,-165.4064,3.0,75,90,2.66,US,1619444377
Ambilobe,-13.2,49.05,27.13,78,34,0.6,MG,1619444377
Severo-Kuril'sk,50.6789,156.125,-1.23,94,100,8.72,RU,1619444378
Kidal,18.4411,1.4078,41.24,4,95,3.75,ML,1619444378
Ponta do Sol,32.6667,-17.1,18.33,85,37,1.34,PT,1619444378
Vaini,-21.2,-175.2,25.0,94,75,2.57,TO,1619444379
Awjilah,29.1081,21.2869,27.66,19,0,3.44,LY,1619444379
Hermanus,-34.4187,19.2345,22.78,59,6,0.89,ZA,1619444118
Lastoursville,-0.8143,12.7287,33.87,45,70,1.26,GA,1619444379
Krasnyy Yar,46.5331,48.3456,16.0,39,0,6.0,RU,1619444380
Jhūsi,25.4333,81.9333,34.59,6,32,3.13,IN,1619444380
Tabuleiro do Norte,-5.2467,-38.1306,32.58,46,16,4.2,BR,1619444380
Inhambane,-23.865,35.3833,28.89,69,40,4.12,MZ,1619444381
Panguipulli,-39.6333,-72.3333,9.0,100,90,0.24,CL,1619444381
Zigong,29.3416,104.7769,19.35,76,86,2.95,CN,1619444381
